Date,Close,High,Low,Open,Volume,ema20
2024-08-09 09:30:00-04:00,530.05,530.42,529.47,529.81,1163889.0,
2024-08-09 09:35:00-04:00,530.79,531.12,529.47,530.07,635084.0,
2024-08-09 09:40:00-04:00,529.25,530.8,529.2,530.8,757805.0,
2024-08-09 09:45:00-04:00,528.66,529.79,528.63,529.26,758405.0,
2024-08-09 09:50:00-04:00,529.7,529.71,528.56,528.67,577590.0,
2024-08-09 09:55:00-04:00,529.27,529.94,528.84,529.69,396442.0,
2024-08-09 10:00:00-04:00,530.49,530.49,528.8,529.24,556540.0,
2024-08-09 10:05:00-04:00,530.19,530.64,529.9,530.45,698839.0,
2024-08-09 10:10:00-04:00,531.44,531.81,530.18,530.18,629493.0,
2024-08-09 10:15:00-04:00,530.66,531.63,530.46,531.44,504475.0,
2024-08-09 10:20:00-04:00,530.79,531.17,530.38,530.63,270907.0,
2024-08-09 10:25:00-04:00,530.61,531.01,530.4,530.78,249847.0,
2024-08-09 10:30:00-04:00,529.86,530.78,529.6,530.65,505827.0,
2024-08-09 10:35:00-04:00,530.04,530.35,529.38,529.94,532557.0,
2024-08-09 10:40:00-04:00,530.13,530.82,529.95,530.05,298262.0,
2024-08-09 10:45:00-04:00,530.91,531.13,530.14,530.15,363162.0,
2024-08-09 10:50:00-04:00,531.41,531.72,530.77,530.91,297855.0,
2024-08-09 10:55:00-04:00,531.5,532.16,531.29,531.41,452969.0,
2024-08-09 11:00:00-04:00,532.19,532.2,531.51,531.51,211899.0,
2024-08-09 11:05:00-04:00,532.0,532.65,531.88,532.13,350359.0,530.7577828370988
2024-08-09 11:10:00-04:00,531.77,532.12,531.53,531.99,334498.0,530.8541844716608
2024-08-09 11:15:00-04:00,531.88,532.09,531.67,531.77,273007.0,530.9518811886455
2024-08-09 11:20:00-04:00,531.63,531.91,531.31,531.87,249616.0,531.0164639325841
2024-08-09 11:25:00-04:00,530.84,532.02,530.82,531.63,335256.0,530.9996578437666
2024-08-09 11:30:00-04:00,531.53,531.53,530.72,530.9,187648.0,531.0501666205507
2024-08-09 11:35:00-04:00,531.0,531.55,530.75,531.53,199259.0,531.045388847165
2024-08-09 11:40:00-04:00,531.15,531.38,530.7,531.01,309612.0,531.0553518141016
2024-08-09 11:45:00-04:00,531.5,531.71,531.06,531.18,298840.0,531.0976992603777
2024-08-09 11:50:00-04:00,531.6,531.84,531.24,531.5,170349.0,531.145537426056
2024-08-09 11:55:00-04:00,530.3,531.61,530.12,531.59,305598.0,531.0650100521459
2024-08-09 12:00:00-04:00,530.34,530.66,530.18,530.32,256167.0,530.9959614757511
2024-08-09 12:05:00-04:00,530.17,530.58,530.02,530.31,181825.0,530.9172984780605
2024-08-09 12:10:00-04:00,530.15,530.23,529.9,530.17,197584.0,530.844222432531
2024-08-09 12:15:00-04:00,530.09,530.27,529.86,530.12,128520.0,530.7723917246709
2024-08-09 12:20:00-04:00,529.82,530.37,529.8,530.07,105120.0,530.6816877508927
2024-08-09 12:25:00-04:00,530.3,530.48,529.83,529.83,120001.0,530.645336536522
2024-08-09 12:30:00-04:00,530.58,530.88,530.23,530.29,174273.0,530.6391140092342
2024-08-09 12:35:00-04:00,531.02,531.12,530.56,530.6,277279.0,530.6753888654976
2024-08-09 12:40:00-04:00,531.02,531.1,530.73,531.04,231001.0,530.7082089735454
2024-08-09 12:45:00-04:00,531.23,531.27,530.57,531.02,195995.0,530.7579033570173
2024-08-09 12:50:00-04:00,530.92,531.4,530.83,531.22,141574.0,530.7733411325395
2024-08-09 12:55:00-04:00,531.44,531.46,530.82,530.91,165960.0,530.83683245325
2024-08-09 13:00:00-04:00,531.7,531.8,531.31,531.44,204214.0,530.9190388862738
2024-08-09 13:05:00-04:00,531.91,531.91,531.42,531.71,178043.0,531.0134161352001
2024-08-09 13:10:00-04:00,532.72,532.79,531.9,531.92,277027.0,531.1759479318478
2024-08-09 13:15:00-04:00,533.22,533.36,532.69,532.73,514501.0,531.370619557386
2024-08-09 13:20:00-04:00,533.03,533.37,532.96,533.22,223465.0,531.5286557900159
2024-08-09 13:25:00-04:00,534.12,534.14,533.04,533.04,420287.0,531.775450476681
2024-08-09 13:30:00-04:00,534.18,534.51,533.7,534.13,510675.0,532.0044551931876
2024-08-09 13:35:00-04:00,534.05,534.32,533.9,534.18,493981.0,532.1992689843125
2024-08-09 13:40:00-04:00,533.44,534.13,533.2,534.06,418097.0,532.3174338429494
2024-08-09 13:45:00-04:00,533.32,533.67,533.21,533.46,239218.0,532.4129163340971
2024-08-09 13:50:00-04:00,532.62,533.47,532.34,533.32,336766.0,532.4326385879926
2024-08-09 13:55:00-04:00,532.6,532.83,532.4,532.61,194220.0,532.4485777700886
2024-08-09 14:00:00-04:00,532.47,532.96,532.19,532.62,381349.0,532.4506179824612
2024-08-09 14:05:00-04:00,532.84,532.85,532.31,532.47,291458.0,532.4877019841315
2024-08-09 14:10:00-04:00,532.15,532.9,531.7,532.85,377105.0,532.4555398904047
2024-08-09 14:15:00-04:00,532.24,532.26,531.8,532.13,248582.0,532.4350122817947
2024-08-09 14:20:00-04:00,531.85,532.27,531.78,532.23,253593.0,532.3792968263857
2024-08-09 14:25:00-04:00,532.02,532.21,531.69,531.85,165314.0,532.3450780810157
2024-08-09 14:30:00-04:00,531.75,532.25,531.58,532.01,218002.0,532.2884039780619
2024-08-09 14:35:00-04:00,532.22,532.32,531.47,531.75,242042.0,532.2818893134845
2024-08-09 14:40:00-04:00,532.39,532.47,532.12,532.2,285197.0,532.2921855693431
2024-08-09 14:45:00-04:00,532.45,532.79,532.33,532.39,261315.0,532.30721551512
2024-08-09 14:50:00-04:00,531.99,532.52,531.69,532.43,258468.0,532.27700451368
2024-08-09 14:55:00-04:00,532.42,532.49,531.58,531.96,286508.0,532.2906231314248
2024-08-09 15:00:00-04:00,532.05,532.61,531.88,532.38,244842.0,532.2677066427177
2024-08-09 15:05:00-04:00,532.59,532.71,532.03,532.04,532024.0,532.2984012481731
2024-08-09 15:10:00-04:00,532.68,532.88,532.46,532.58,359526.0,532.3347439864424
2024-08-09 15:15:00-04:00,533.1,533.16,532.64,532.69,379845.0,532.4076255115431
2024-08-09 15:20:00-04:00,532.48,533.1,532.16,533.1,461505.0,532.4145183199676
2024-08-09 15:25:00-04:00,532.73,533.01,532.35,532.47,288371.0,532.4445641942564
2024-08-09 15:30:00-04:00,532.96,533.27,532.69,532.74,337999.0,532.4936533186129
2024-08-09 15:35:00-04:00,532.7,533.4,532.66,532.97,766474.0,532.5133053835069
2024-08-09 15:40:00-04:00,532.71,533.16,532.51,532.7,514240.0,532.5320382041253
2024-08-09 15:45:00-04:00,533.02,533.13,532.66,532.7,601121.0,532.5785107561134
2024-08-09 15:50:00-04:00,532.3,533.24,532.06,533.02,922833.0,532.5519859221978
2024-08-09 15:55:00-04:00,532.91,533.41,532.11,532.35,2093010.0,532.5860825010361
2024-08-12 09:30:00-04:00,534.31,534.48,533.97,534.22,1449677.0,532.7502651199851
2024-08-12 09:35:00-04:00,533.23,534.47,533.05,534.31,567535.0,532.795954156177
2024-08-12 09:40:00-04:00,532.04,533.42,531.94,533.26,563550.0,532.7239585222554
2024-08-12 09:45:00-04:00,531.44,532.28,531.22,532.06,618138.0,532.6016767582311
2024-08-12 09:50:00-04:00,531.83,532.28,531.42,531.48,416547.0,532.5281837336377
2024-08-12 09:55:00-04:00,531.41,532.06,530.95,531.77,502039.0,532.4216900447198
2024-08-12 10:00:00-04:00,531.98,532.15,531.23,531.44,397311.0,532.379624326175
2024-08-12 10:05:00-04:00,533.39,533.39,531.83,532.02,434600.0,532.475850580825
2024-08-12 10:10:00-04:00,533.76,533.83,533.19,533.37,322586.0,532.5981505255083
2024-08-12 10:15:00-04:00,533.81,534.05,533.54,533.78,331117.0,532.7135647611742
2024-08-12 10:20:00-04:00,534.23,534.48,533.73,533.85,447654.0,532.8579871648719
2024-08-12 10:25:00-04:00,534.19,534.73,534.0,534.27,539950.0,532.9848455301222
2024-08-12 10:30:00-04:00,534.62,534.66,534.05,534.18,375757.0,533.1405745272534
2024-08-12 10:35:00-04:00,534.85,535.0,534.48,534.63,293499.0,533.3033769532293
2024-08-12 10:40:00-04:00,534.64,535.21,534.62,534.88,427455.0,533.4306743862551
2024-08-12 10:45:00-04:00,535.15,535.2,534.45,534.62,495931.0,533.5944196828023
2024-08-12 10:50:00-04:00,535.0,535.21,534.77,535.14,317412.0,533.7282844749163
2024-08-12 10:55:00-04:00,535.21,535.31,534.8,534.98,215401.0,533.86940023921
2024-08-12 11:00:00-04:00,535.59,535.73,535.11,535.22,334903.0,534.0332668830947
2024-08-12 11:05:00-04:00,535.2,535.64,535.14,535.59,253427.0,534.1443843228
